id,name,cost
411,Чехол-книжка PocketBook PBC-627-BKST-RU черный,1 499
412,Чехол-книжка PocketBook PBC-627-DGST-RU серый,1 499
413,"Смартфоны, планшеты и фототехника / Планшеты, электронные книги / Планшеты","Цена, руб"
414,"10.1"" Детский планшет TurboKids Star 16 ГБ  синий",6 499
415,"10.1"" Планшет Dexp Ursus B11 16 ГБ 3G черный",5 499
416,"10.1"" Планшет Dexp Ursus H110 32 ГБ 3G, LTE черный",9 999
417,"10.1"" Планшет Dexp Ursus K11 32 ГБ 3G серый",6 999
418,"10.1"" Планшет Dexp Ursus M210 64 ГБ 3G, LTE коричневый",11 999
419,"10.1"" Планшет Dexp Ursus M210 64 ГБ 3G, LTE серый",11 999
420,"10.1"" Планшет Dexp Ursus N310 32 ГБ 3G, LTE коричневый",7 499
421,"10.1"" Планшет Dexp Ursus N310 32 ГБ 3G, LTE серый",7 499
422,"10.1"" Планшет Dexp Ursus P510 16 ГБ 3G, LTE черный",5 999
423,"10.1"" Планшет Dexp Ursus Q110 32 ГБ 3G, LTE серый",10 999
424,"10.1"" Планшет Huawei M5 Lite 10 32 ГБ 3G, LTE серый",18 999
425,"10.1"" Планшет Huawei Matepad T 10s 32 ГБ 3G, LTE синий",14 999
426,"10.1"" Планшет Huawei Matepad T 10s 64 ГБ 3G, LTE синий",16 999
427,"10.1"" Планшет Huawei T5 10 16 ГБ 3G, LTE черный",12 999
428,"10.1"" Планшет Huawei T5 10 32 ГБ 3G, LTE черный",14 999
429,"10.1"" Планшет Huawei T5 10 64 ГБ 3G, LTE черный",17 999
430,"10.1"" Планшет Irbis TW100 64 ГБ + клавиатура  черный",13 999
431,"10.1"" Планшет Irbis TW87 32 ГБ + клавиатура  черный",11 999
432,"10.1"" Планшет Lenovo M10 Plus HD TB-X306F TAB 32 ГБ  серебристый",12 499
433,"10.1"" Планшет Lenovo M10 Plus HD TB-X306F TAB 32 ГБ  серый",12 499
434,"10.1"" Планшет Lenovo TAB M10 HD TB-X306X 32 ГБ 3G, LTE серебристый",13 999
